INSERT INTO `STUDENT`(`ROLL_NO`, `STUDENT_NAME`, `COURSE`, `YEAR`) VALUES 
(20242432, 'Ayesha Khan', 'BCOM', '1st'),
(20242433, 'Vansh Sood', 'BCOM', '1st'),
(20242434, 'Kavya Yadav', 'BCOM', '1st'),
(20242435, 'Anjali Rani', 'BCOM', '1st'),
(20242436, 'Tushar Sharma', 'BCOM', '1st'),
(20242437, 'Sakshi Singh', 'BCOM', '1st'),
(20242438, 'Rohit Agarwal', 'BCOM', '1st'),
(20242439, 'Himanshu Desai', 'BCOM', '1st'),
(20242440, 'Aarav Bansal', 'BCOM', '1st'),
(20242441, 'Kriti Mehta', 'BCOM', '1st'),
(20242442, 'Sonam Gupta', 'BCOM', '1st'),
(20242443, 'Dhruv Nair', 'BCOM', '1st'),
(20242444, 'Tanya Jain', 'BCOM', '1st'),
(20242445, 'Riya Kapoor', 'BCOM', '1st'),
(20242446, 'Ankit Singh', 'BCOM', '1st'),
(20242447, 'Mohan Sharma', 'BCOM', '1st'),
(20242448, 'Siddhi Roy', 'BCOM', '1st'),
(20242449, 'Naina Khanna', 'BCOM', '1st'),
(20242450, 'Pranav Yadav', 'BCOM', '1st'),
(20242451, 'Suman Rani', 'BCOM', '1st'),
(20242452, 'Isha Gupta', 'BCOM', '1st'),
(20242453, 'Rakesh Joshi', 'BCOM', '1st'),
(20242454, 'Saloni Verma', 'BCOM', '1st'),
(20242455, 'Gaurav Thakur', 'BCOM', '1st'),
(20242456, 'Kanika Rao', 'BCOM', '1st'),
(20242457, 'Rajesh Singh', 'BCOM', '1st'),
(20242458, 'Aditi Sharma', 'BCOM', '1st'),
(20242459, 'Karan Mehta', 'BCOM', '1st'),
(20242460, 'Lavanya Jain', 'BCOM', '1st'),
(20242461, 'Ishika Bansal', 'BCOM', '1st'),
(20242462, 'Aarav Reddy', 'BCOM', '1st'),
(20242463, 'Chandni Yadav', 'BCOM', '1st'),
(20242464, 'Nishant Gupta', 'BCOM', '1st'),
(20242465, 'Simran Roy', 'BCOM', '1st'),
(20242466, 'Rohan Verma', 'BCOM', '1st'),
(20242467, 'Kavya Khanna', 'BCOM', '1st'),
(20242468, 'Vivek Patel', 'BCOM', '1st'),
(20242469, 'Ananya Jain', 'BCOM', '1st'),
(20242470, 'Adya Singh', 'BCOM', '1st'),
(20242471, 'Rajat Sharma', 'BCOM', '1st'),
(20242472, 'Nikita Rani', 'BCOM', '1st'),
(20242473, 'Kunal Roy', 'BCOM', '1st'),
(20242474, 'Divya Bansal', 'BCOM', '1st'),
(20242475, 'Tanvi Gupta', 'BCOM', '1st'),
(20242476, 'Harsh Nair', 'BCOM', '1st'),
(20242477, 'Anushka Patel', 'BCOM', '1st'),
(20242478, 'Rajat Yadav', 'BCOM', '1st'),
(20242479, 'Siddharth Jain', 'BCOM', '1st'),
(20242480, 'Deepika Verma', 'BCOM', '1st'),
(20242481, 'Kartik Singh', 'BCOM', '1st'),
(20242482, 'Manish Agarwal', 'BCOM', '1st'),
(20242483, 'Riya Desai', 'BCOM', '1st'),
(20242484, 'Puneet Kapoor', 'BCOM', '1st'),
(20242485, 'Gauri Nair', 'BCOM', '1st'),
(20242486, 'Karan Thakur', 'BCOM', '1st'),
(20242487, 'Nikita Singh', 'BCOM', '1st'),
(20242488, 'Sakshi Reddy', 'BCOM', '1st'),
(20242489, 'Kavya Joshi', 'BCOM', '1st'),
(20242490, 'Rahul Sharma', 'BCOM', '1st'),
(20242491, 'Neha Verma', 'BCOM', '1st'),
(20242492, 'Aarav Gupta', 'BCOM', '1st'),
(20242493, 'Tushar Patel', 'BCOM', '1st'),
(20242494, 'Priya Agarwal', 'BCOM', '1st'),
(20242495, 'Raghav Kumar', 'BCOM', '1st'),
(20242496, 'Sonia Yadav', 'BCOM', '1st'),
(20242497, 'Gaurav Mehta', 'BCOM', '1st'),
(20242498, 'Disha Singh', 'BCOM', '1st'),
(20242499, 'Vansh Khanna', 'BCOM', '1st'),
(20241101, 'Zenith Lal', 'BSc. Mathematics', '1st'),
(20241102, 'Anika Verma', 'BSc. Mathematics', '1st'),
(20241103, 'Kunal Gupta', 'BSc. Mathematics', '1st'),
(20241104, 'Sneha Reddy', 'BSc. Mathematics', '1st'),
(20241105, 'Rahul Joshi', 'BSc. Mathematics', '1st'),
(20241106, 'Maya Singh', 'BSc. Mathematics', '1st'),
(20241107, 'Rohan Nair', 'BSc. Mathematics', '1st'),
(20241108, 'Priya Patel', 'BSc. Mathematics', '1st'),
(20241109, 'Aditya Yadav', 'BSc. Mathematics', '1st'),
(20241110, 'Nisha Kumar', 'BSc. Mathematics', '1st'),
(20241111, 'Vikram Sethi', 'BSc. Mathematics', '1st'),
(20241112, 'Ritika Joshi', 'BSc. Mathematics', '1st'),
(20241113, 'Harsh Thakur', 'BSc. Mathematics', '1st'),
(20241114, 'Kriti Sharma', 'BSc. Mathematics', '1st'),
(20241115, 'Siddharth Bansal', 'BSc. Mathematics', '1st'),
(20241116, 'Aditi Singh', 'BSc. Mathematics', '1st'),
(20241117, 'Deepak Rao', 'BSc. Mathematics', '1st'),
(20241118, 'Pooja Agarwal', 'BSc. Mathematics', '1st'),
(20241119, 'Tanvi Mehta', 'BSc. Mathematics', '1st'),
(20241120, 'Aarav Kapoor', 'BSc. Mathematics', '1st'),
(20241121, 'Mohan Verma', 'BSc. Mathematics', '1st'),
(20241122, 'Simran Gupta', 'BSc. Mathematics', '1st'),
(20241123, 'Yash Sharma', 'BSc. Mathematics', '1st'),
(20241124, 'Neha Nair', 'BSc. Mathematics', '1st'),
(20241125, 'Raghav Joshi', 'BSc. Mathematics', '1st'),
(20241126, 'Avantika Singh', 'BSc. Mathematics', '1st'),
(20241127, 'Nikhil Desai', 'BSc. Mathematics', '1st'),
(20241128, 'Sakshi Yadav', 'BSc. Mathematics', '1st'),
(20241129, 'Rahul Bhatia', 'BSc. Mathematics', '1st'),
(20241130, 'Gaurav Khanna', 'BSc. Mathematics', '1st'),
(20241131, 'Ayesha Khan', 'BSc. Mathematics', '1st'),
(20241132, 'Ramesh Patel', 'BSc. Mathematics', '1st'),
(20241133, 'Meera Sood', 'BSc. Mathematics', '1st'),
(20241134, 'Harpreet Singh', 'BSc. Mathematics', '1st'),
(20241135, 'Chaitanya Agarwal', 'BSc. Mathematics', '1st'),
(20241136, 'Suman Kumari', 'BSc. Mathematics', '1st'),
(20241137, 'Adya Roy', 'BSc. Mathematics', '1st'),
(20241138, 'Devendra Thakur', 'BSc. Mathematics', '1st'),
(20241139, 'Siddhi Rao', 'BSc. Mathematics', '1st'),
(20241140, 'Aarohi Yadav', 'BSc. Mathematics', '1st'),
(20241141, 'Karan Bansal', 'BSc. Mathematics', '1st'),
(20241142, 'Ishaan Sharma', 'BSc. Mathematics', '1st'),
(20241143, 'Kanika Joshi', 'BSc. Mathematics', '1st'),
(20241144, 'Pranav Mehta', 'BSc. Mathematics', '1st'),
(20241145, 'Lavanya Singh', 'BSc. Mathematics', '1st'),
(20241146, 'Tushar Nair', 'BSc. Mathematics', '1st'),
(20241147, 'Naina Gupta', 'BSc. Mathematics', '1st'),
(20241148, 'Vivek Sharma', 'BSc. Mathematics', '1st'),
(20241149, 'Riya Verma', 'BSc. Mathematics', '1st'),
(20241150, 'Harshita Patel', 'BSc. Mathematics', '1st'),
(20241151, 'Samir Joshi', 'BSc. Mathematics', '1st'),
(20241152, 'Neeraj Kumar', 'BSc. Mathematics', '1st'),
(20241153, 'Pallavi Yadav', 'BSc. Mathematics', '1st'),
(20241154, 'Rakesh Nair', 'BSc. Mathematics', '1st'),
(20241155, 'Sonia Agarwal', 'BSc. Mathematics', '1st'),
(20241156, 'Ankit Bansal', 'BSc. Mathematics', '1st'),
(20241157, 'Zara Khan', 'BSc. Mathematics', '1st'),
(20241158, 'Nikita Roy', 'BSc. Mathematics', '1st'),
(20241159, 'Siddharth Kapoor', 'BSc. Mathematics', '1st'),
(20241160, 'Kavya Verma', 'BSc. Mathematics', '1st'),
(20241161, 'Rohan Sethi', 'BSc. Mathematics', '1st'),
(20241162, 'Shivani Kumar', 'BSc. Mathematics', '1st'),
(20241163, 'Arnav Yadav', 'BSc. Mathematics', '1st'),
(20241164, 'Ritika Patel', 'BSc. Mathematics', '1st'),
(20241165, 'Anjali Sharma', 'BSc. Mathematics', '1st'),
(20241166, 'Deepak Joshi', 'BSc. Mathematics', '1st'),
(20241167, 'Nikhil Singh', 'BSc. Mathematics', '1st'),
(20241168, 'Aditi Rao', 'BSc. Mathematics', '1st'),
(20241169, 'Harsh Bansal', 'BSc. Mathematics', '1st'),
(20241170, 'Sonam Yadav', 'BSc. Mathematics', '1st'),
(20241171, 'Ishita Verma', 'BSc. Mathematics', '1st'),
(20241172, 'Aarav Desai', 'BSc. Mathematics', '1st'),
(20241173, 'Manan Singh', 'BSc. Mathematics', '1st'),
(20241174, 'Pooja Rao', 'BSc. Mathematics', '1st'),
(20241175, 'Kriti Gupta', 'BSc. Mathematics', '1st'),
(20241176, 'Anurag Sharma', 'BSc. Mathematics', '1st'),
(20241177, 'Lavanya Joshi', 'BSc. Mathematics', '1st'),
(20241178, 'Dhruv Agarwal', 'BSc. Mathematics', '1st'),
(20241179, 'Swati Nair', 'BSc. Mathematics', '1st'),
(20241180, 'Rashmi Kumar', 'BSc. Mathematics', '1st'),
(20241181, 'Neha Kapoor', 'BSc. Mathematics', '1st'),
(20241182, 'Rajesh Bansal', 'BSc. Mathematics', '1st'),
(20241183, 'Tanvi Singh', 'BSc. Mathematics', '1st'),
(20241184, 'Aarushi Yadav', 'BSc. Mathematics', '1st'),
(20241185, 'Mohit Sharma', 'BSc. Mathematics', '1st'),
(20241186, 'Priti Verma', 'BSc. Mathematics', '1st'),
(20241187, 'Karan Patel', 'BSc. Mathematics', '1st'),
(20241188, 'Himani Joshi', 'BSc. Mathematics', '1st'),
(20241189, 'Nishant Kumar', 'BSc. Mathematics', '1st'),
(20241190, 'Sakshi Mehta', 'BSc. Mathematics', '1st'),
(20241191, 'Akshay Rao', 'BSc. Mathematics', '1st'),
(20241192, 'Tanya Singh', 'BSc. Mathematics', '1st'),
(20241193, 'Kavya Agarwal', 'BSc. Mathematics', '1st'),
(20241194, 'Vansh Nair', 'BSc. Mathematics', '1st'),
(20241195, 'Alok Gupta', 'BSc. Mathematics', '1st'),
(20241196, 'Ankita Verma', 'BSc. Mathematics', '1st'),
(20222701, 'Pankaj Saini', 'BVoc. Software Development', '3rd'),
(20222702, 'Aarav Sharma', 'BVoc. Software Development', '3rd'),
(20222703, 'Isha Verma', 'BVoc. Software Development', '3rd'),
(20222704, 'Mohit Gupta', 'BVoc. Software Development', '3rd'),
(20222705, 'Ananya Rao', 'BVoc. Software Development', '3rd'),
(20222706, 'Karan Singh', 'BVoc. Software Development', '3rd'),
(20222707, 'Sneha Patel', 'BVoc. Software Development', '3rd'),
(20222708, 'Vikram Joshi', 'BVoc. Software Development', '3rd'),
(20222709, 'Neha Mehta', 'BVoc. Software Development', '3rd'),
(20222710, 'Rohan Nair', 'BVoc. Software Development', '3rd'),
(20222711, 'Pooja Yadav', 'BVoc. Software Development', '3rd'),
(20222712, 'Rahul Bhatia', 'BVoc. Software Development', '3rd'),
(20222713, 'Nisha Sood', 'BVoc. Software Development', '3rd'),
(20222714, 'Kriti Sharma', 'BVoc. Software Development', '3rd'),
(20222715, 'Akshay Khanna', 'BVoc. Software Development', '3rd'),
(20222716, 'Tanya Agarwal', 'BVoc. Software Development', '3rd'),
(20222717, 'Aditya Choudhary', 'BVoc. Software Development', '3rd'),
(20222718, 'Meera Desai', 'BVoc. Software Development', '3rd'),
(20222719, 'Harsh Thakur', 'BVoc. Software Development', '3rd'),
(20222720, 'Simran Gill', 'BVoc. Software Development', '3rd'),
(20222721, 'Vansh Rathi', 'BVoc. Software Development', '3rd'),
(20222722, 'Ritika Jain', 'BVoc. Software Development', '3rd'),
(20222723, 'Yash Sharma', 'BVoc. Software Development', '3rd'),
(20222724, 'Divya Singh', 'BVoc. Software Development', '3rd'),
(20222725, 'Siddharth Mehta', 'BVoc. Software Development', '3rd'),
(20222726, 'Tanvi Kapoor', 'BVoc. Software Development', '3rd'),
(20222727, 'Aditi Sharma', 'BVoc. Software Development', '3rd'),
(20222728, 'Rishabh Saxena', 'BVoc. Software Development', '3rd'),
(20222729, 'Ritik Gupa', 'BVoc. Software Development', '3rd'),
(20222731, 'Riya Saini', 'BVoc. Software Development', '3rd'),
(20222732, 'Aarav Sharma', 'BVoc. Software Development', '3rd'),
(20222733, 'Isha Verma', 'BVoc. Software Development', '3rd'),
(20222734, 'Mohit Gupta', 'BVoc. Software Development', '3rd'),
(20222735, 'Ananya Rao', 'BVoc. Software Development', '3rd'),
(20222736, 'Karan Singh', 'BVoc. Software Development', '3rd'),
(20222737, 'Sneha Patel', 'BVoc. Software Development', '3rd'),
(20222738, 'Vikram Joshi', 'BVoc. Software Development', '3rd'),
(20222739, 'Neha Mehta', 'BVoc. Software Development', '3rd'),
(20222740, 'Rohan Nair', 'BVoc. Software Development', '3rd'),
(20222741, 'Pooja Yadav', 'BVoc. Software Development', '3rd'),
(20222742, 'Rahul Bhatia', 'BVoc. Software Development', '3rd'),
(20222743, 'Nisha Sood', 'BVoc. Software Development', '3rd'),
(20222744, 'Kriti Sharma', 'BVoc. Software Development', '3rd'),
(20222745, 'Akshay Khanna', 'BVoc. Software Development', '3rd'),
(20222746, 'Tanya Agarwal', 'BVoc. Software Development', '3rd'),
(20222747, 'Aditya Choudhary', 'BVoc. Software Development', '3rd'),
(20222748, 'Meera Desai', 'BVoc. Software Development', '3rd'),
(20222749, 'Harsh Thakur', 'BVoc. Software Development', '3rd'),
(20222750, 'Simran Gill', 'BVoc. Software Development', '3rd'),
(20222751, 'Vansh Rathi', 'BVoc. Software Development', '3rd'),
(20222752, 'Ritika Jain', 'BVoc. Software Development', '3rd'),
(20222753, 'Yash Sharma', 'BVoc. Software Development', '3rd'),
(20222754, 'Divya Singh', 'BVoc. Software Development', '3rd'),
(20222755, 'Siddharth Mehta', 'BVoc. Software Development', '3rd'),
(20222756, 'Tanvi Kapoor', 'BVoc. Software Development', '3rd'),
(20222757, 'Aditi Sharma', 'BVoc. Software Development', '3rd'),
(20222758, 'Rishabh Saxena', 'BVoc. Software Development', '3rd'),
(20222759, 'Prachi Tiwari', 'BVoc. Software Development', '3rd'),
(20222760, 'Kunal Bansal', 'BVoc. Software Development', '3rd'),
(20222761, 'Sakshi Yadav', 'BVoc. Software Development', '3rd'),
(20222762, 'Deepak Verma', 'BVoc. Software Development', '3rd'),
(20222763, 'Avantika Roy', 'BVoc. Software Development', '3rd'),
(20222764, 'Raghav Sethi', 'BVoc. Software Development', '3rd'),
(20222765, 'Naina Kapoor', 'BVoc. Software Development', '3rd'),
(20222766, 'Vivek Gupta', 'BVoc. Software Development', '3rd'),
(20222767, 'Sonam Sharma', 'BVoc. Software Development', '3rd'),
(20222768, 'Aarohi Deshmukh', 'BVoc. Software Development', '3rd'),
(20222769, 'Kartik Khanna', 'BVoc. Software Development', '3rd'),
(20222770, 'Suman Rani', 'BVoc. Software Development', '3rd'),
(20222771, 'Pranav Agarwal', 'BVoc. Software Development', '3rd'),
(20222772, 'Rupal Jain', 'BVoc. Software Development', '3rd'),
(20222773, 'Devendra Singh', 'BVoc. Software Development', '3rd'),
(20222774, 'Lakshmi Rao', 'BVoc. Software Development', '3rd'),
(20222775, 'Mohini Patel', 'BVoc. Software Development', '3rd'),
(20222776, 'Himanshu Bansal', 'BVoc. Software Development', '3rd'),
(20222777, 'Neeraj Saxena', 'BVoc. Software Development', '3rd'),
(20222778, 'Saloni Mehta', 'BVoc. Software Development', '3rd'),
(20222779, 'Ayesha Khan', 'BVoc. Software Development', '3rd'),
(20222780, 'Rajat Choudhary', 'BVoc. Software Development', '3rd'),
(20222781, 'Parul Gupta', 'BVoc. Software Development', '3rd'),
(20222782, 'Siddhi Sharma', 'BVoc. Software Development', '3rd'),
(20222783, 'Rakesh Desai', 'BVoc. Software Development', '3rd'),
(20222784, 'Swati Singh', 'BVoc. Software Development', '3rd'),
(20222785, 'Nikhil Joshi', 'BVoc. Software Development', '3rd'),
(20222786, 'Rupal Nair', 'BVoc. Software Development', '3rd'),
(20222787, 'Adya Verma', 'BVoc. Software Development', '3rd'),
(20222788, 'Ishaan Roy', 'BVoc. Software Development', '3rd'),
(20222789, 'Vani Tiwari', 'BVoc. Software Development', '3rd'),
(20222790, 'Tejas Gupta', 'BVoc. Software Development', '3rd'),
(20222791, 'Anshika Bhatia', 'BVoc. Software Development', '3rd'),
(20222792, 'Kavya Joshi', 'BVoc. Software Development', '3rd'),
(20222793, 'Mohan Patil', 'BVoc. Software Development', '3rd'),
(20222794, 'Bhavna Sharma', 'BVoc. Software Development', '3rd'),
(20222795, 'Rajendra Verma', 'BVoc. Software Development', '3rd'),
(20222796, 'Raghav Dutta', 'BVoc. Software Development', '3rd'),
(20222797, 'Amisha Jain', 'BVoc. Software Development', '3rd'),
(20222798, 'Ajay Kumar', 'BVoc. Software Development', '3rd'),
(20222799, 'Priya Mehta', 'BVoc. Software Development', '3rd'),
(20221401, 'Nandini Singh', 'BCOM', '3rd'),
(20221402, 'Aarav Sharma', 'BCOM', '3rd'),
(20221403, 'Riya Gupta', 'BCOM', '3rd'),
(20221404, 'Kunal Verma', 'BCOM', '3rd'),
(20221405, 'Sneha Patel', 'BCOM', '3rd'),
(20221406, 'Mohit Nair', 'BCOM', '3rd'),
(20221407, 'Ananya Yadav', 'BCOM', '3rd'),
(20221408, 'Rahul Joshi', 'BCOM', '3rd'),
(20221409, 'Pooja Agarwal', 'BCOM', '3rd'),
(20221410, 'Aditya Singh', 'BCOM', '3rd'),
(20221411, 'Neha Reddy', 'BCOM', '3rd'),
(20221412, 'Vikram Bansal', 'BCOM', '3rd'),
(20221413, 'Kriti Sharma', 'BCOM', '3rd'),
(20221414, 'Harsh Thakur', 'BCOM', '3rd'),
(20221415, 'Siddharth Mehta', 'BCOM', '3rd'),
(20221416, 'Tanya Roy', 'BCOM', '3rd'),
(20221417, 'Divya Jain', 'BCOM', '3rd'),
(20221418, 'Karan Sethi', 'BCOM', '3rd'),
(20221419, 'Simran Verma', 'BCOM', '3rd'),
(20221420, 'Yash Gupta', 'BCOM', '3rd'),
(20221421, 'Nisha Khanna', 'BCOM', '3rd'),
(20221422, 'Aditi Yadav', 'BCOM', '3rd'),
(20221423, 'Rahul Bhatia', 'BCOM', '3rd'),
(20221424, 'Raghav Kapoor', 'BCOM', '3rd'),
(20221425, 'Pallavi Desai', 'BCOM', '3rd'),
(20221426, 'Nikhil Nair', 'BCOM', '3rd'),
(20221427, 'Lavanya Kumar', 'BCOM', '3rd'),
(20221428, 'Deepak Joshi', 'BCOM', '3rd'),
(20221429, 'Maya Singh', 'BCOM', '3rd'),
(20221430, 'Ishaan Roy', 'BCOM', '3rd'),
(20221431, 'Neeraj Gupta', 'BCOM', '3rd'),
(20221432, 'Ayesha Khan', 'BCOM', '3rd'),
(20221433, 'Vansh Sood', 'BCOM', '3rd'),
(20221434, 'Kavya Yadav', 'BCOM', '3rd'),
(20221435, 'Anjali Rani', 'BCOM', '3rd'),
(20221436, 'Tushar Sharma', 'BCOM', '3rd'),
(20221437, 'Sakshi Singh', 'BCOM', '3rd'),
(20221438, 'Rohit Agarwal', 'BCOM', '3rd'),
(20221439, 'Himanshu Desai', 'BCOM', '3rd'),
(20221440, 'Aarav Bansal', 'BCOM', '3rd'),
(20221441, 'Kriti Mehta', 'BCOM', '3rd'),
(20221442, 'Sonam Gupta', 'BCOM', '3rd'),
(20221443, 'Dhruv Nair', 'BCOM', '3rd'),
(20221444, 'Tanya Jain', 'BCOM', '3rd'),
(20221445, 'Riya Kapoor', 'BCOM', '3rd'),
(20221446, 'Ankit Singh', 'BCOM', '3rd'),
(20221447, 'Mohan Sharma', 'BCOM', '3rd'),
(20221448, 'Siddhi Roy', 'BCOM', '3rd'),
(20221449, 'Naina Khanna', 'BCOM', '3rd'),
(20221450, 'Pranav Yadav', 'BCOM', '3rd'),
(20221451, 'Suman Rani', 'BCOM', '3rd'),
(20221452, 'Isha Gupta', 'BCOM', '3rd'),
(20221453, 'Rakesh Joshi', 'BCOM', '3rd'),
(20221454, 'Saloni Verma', 'BCOM', '3rd'),
(20221455, 'Gaurav Thakur', 'BCOM', '3rd'),
(20221456, 'Kanika Rao', 'BCOM', '3rd'),
(20221457, 'Rajesh Singh', 'BCOM', '3rd'),
(20221458, 'Aditi Sharma', 'BCOM', '3rd'),
(20221459, 'Karan Mehta', 'BCOM', '3rd'),
(20221460, 'Lavanya Jain', 'BCOM', '3rd'),
(20221461, 'Ishika Bansal', 'BCOM', '3rd'),
(20221462, 'Aarav Reddy', 'BCOM', '3rd'),
(20221463, 'Chandni Yadav', 'BCOM', '3rd'),
(20221464, 'Nishant Gupta', 'BCOM', '3rd'),
(20221465, 'Simran Roy', 'BCOM', '3rd'),
(20221466, 'Rohan Verma', 'BCOM', '3rd'),
(20221467, 'Kavya Khanna', 'BCOM', '3rd'),
(20221468, 'Vivek Patel', 'BCOM', '3rd'),
(20221469, 'Ananya Jain', 'BCOM', '3rd'),
(20221470, 'Adya Singh', 'BCOM', '3rd'),
(20221471, 'Rajat Sharma', 'BCOM', '3rd'),
(20221472, 'Nikita Rani', 'BCOM', '3rd'),
(20221473, 'Kunal Roy', 'BCOM', '3rd'),
(20221474, 'Divya Bansal', 'BCOM', '3rd'),
(20221475, 'Tanvi Gupta', 'BCOM', '3rd'),
(20221476, 'Harsh Nair', 'BCOM', '3rd'),
(20221477, 'Anushka Patel', 'BCOM', '3rd'),
(20221478, 'Rajat Yadav', 'BCOM', '3rd'),
(20221479, 'Siddharth Jain', 'BCOM', '3rd'),
(20221480, 'Deepika Verma', 'BCOM', '3rd'),
(20221481, 'Kartik Singh', 'BCOM', '3rd'),
(20221482, 'Manish Agarwal', 'BCOM', '3rd'),
(20221483, 'Riya Desai', 'BCOM', '3rd'),
(20221484, 'Puneet Kapoor', 'BCOM', '3rd'),
(20221485, 'Gauri Nair', 'BCOM', '3rd'),
(20221486, 'Karan Thakur', 'BCOM', '3rd'),
(20221487, 'Nikita Singh', 'BCOM', '3rd'),
(20221488, 'Sakshi Reddy', 'BCOM', '3rd'),
(20221489, 'Kavya Joshi', 'BCOM', '3rd'),
(20221490, 'Rahul Sharma', 'BCOM', '3rd'),
(20221491, 'Neha Verma', 'BCOM', '3rd'),
(20221492, 'Aarav Gupta', 'BCOM', '3rd'),
(20221493, 'Tushar Patel', 'BCOM', '3rd'),
(20221494, 'Priya Agarwal', 'BCOM', '3rd'),
(20221495, 'Raghav Kumar', 'BCOM', '3rd'),
(20221496, 'Sonia Yadav', 'BCOM', '3rd'),
(20221497, 'Gaurav Mehta', 'BCOM', '3rd'),
(20221498, 'Disha Singh', 'BCOM', '3rd'),
(20221499, 'Vansh Khanna', 'BCOM', '3rd');


INSERT INTO BOOKS(BOOK_NAME, AUTHOR, COPIES) VALUES 
('Twisted Love', 'Ana Huang', 4),
('The Silent Patient', 'Alex Michaelides', 2),
('Where the Crawdads Sing', 'Delia Owens', 3),
('The Vanishing Half', 'Brit Bennett', 5),
('The Midnight Library', 'Matt Haig', 1),
('It Ends with Us', 'Colleen Hoover', 4),
('The Seven Husbands of Evelyn Hugo', 'Taylor Jenkins Reid', 2),
('Circe', 'Madeline Miller', 5),
('The Song of Achilles', 'Madeline Miller', 1),
('Normal People', 'Sally Rooney', 5),
('The Invisible Life of Addie LaRue', 'V.E. Schwab', 2),
('Daisy Jones & The Six', 'Taylor Jenkins Reid', 4),
('Educated', 'Tara Westover', 3),
('Anxious People', 'Fredrik Backman', 2),
('The Guest List', 'Lucy Foley', 5),
('Big Little Lies', 'Liane Moriarty', 1),
('The Testaments', 'Margaret Atwood', 4),
('The Overstory', 'Richard Powers', 3),
('Project Hail Mary', 'Andy Weir', 5),
('The Night Circus', 'Erin Morgenstern', 1),
('A Man Called Ove', 'Fredrik Backman', 1),
('The Woman in the Window', 'A.J. Finn', 3),
('Little Fires Everywhere', 'Celeste Ng', 5),
('Homegoing', 'Yaa Gyasi', 4),
('The Goldfinch', 'Donna Tartt', 2),
('The Giver of Stars', 'Jojo Moyes', 3),
('The Tattooist of Auschwitz', 'Heather Morris', 5),
('Becoming', 'Michelle Obama', 2),
('Before the Coffee Gets Cold', 'Toshikazu Kawaguchi', 4),
('The Alchemist', 'Paulo Coelho', 1),
('The Girl on the Train', 'Paula Hawkins', 3),
('The Silent Corner', 'Dean Koontz', 5),
('The Fault in Our Stars', 'John Green', 4),
('The Kite Runner', 'Khaled Hosseini', 2),
('Eleanor Oliphant Is Completely Fine', 'Gail Honeyman', 3),
('Life of Pi', 'Yann Martel', 1),
('The Book Thief', 'Markus Zusak', 5),
('The House in the Cerulean Sea', 'TJ Klune', 4),
('Neverwhere', 'Neil Gaiman', 2),
('The Time Traveler’s Wife', 'Audrey Niffenegger', 3),
('The Light We Lost', 'Jill Santopolo', 1),
('Red, White & Royal Blue', 'Casey McQuiston', 5),
('The Dutch House', 'Ann Patchett', 4),
('The Rosie Project', 'Graeme Simsion', 3),
('Harry Potter and the Sorcerer’s Stone', 'J.K. Rowling', 5),
('The Martian', 'Andy Weir', 2),
('The Shadow of the Wind', 'Carlos Ruiz Zafón', 4),
('A Court of Thorns and Roses', 'Sarah J. Maas', 1),
('The Hunger Games', 'Suzanne Collins', 3),
('Good Omens', 'Neil Gaiman & Terry Pratchett', 5),
('The Perks of Being a Wallflower', 'Stephen Chbosky', 2),
('Fahrenheit 451', 'Ray Bradbury', 4),
('The Catcher in the Rye', 'J.D. Salinger', 3),
('Pride and Prejudice', 'Jane Austen', 1),
('The Great Gatsby', 'F. Scott Fitzgerald', 5),
('The Secret History', 'Donna Tartt', 2),
('The Bone Clocks', 'David Mitchell', 4),
('The Light Between Oceans', 'M.L. Stedman', 3),
('The Lovely Bones', 'Alice Sebold', 1),
('The Girl with the Dragon Tattoo', 'Stieg Larsson', 5),
('The Ocean at the End of the Lane', 'Neil Gaiman', 4),
('American Dirt', 'Jeanine Cummins', 2),
('The Girl Who Lived', 'Christopher Greyson', 3),
('The Invisible Man', 'H.G. Wells', 1),
('Cloud Atlas', 'David Mitchell', 5),
('Station Eleven', 'Emily St. John Mandel', 2),
('The Nightingale', 'Kristin Hannah', 4),
('All the Light We Cannot See', 'Anthony Doerr', 3),
('The Help', 'Kathryn Stockett', 5),
('A Thousand Splendid Suns', 'Khaled Hosseini', 1),
('Room', 'Emma Donoghue', 2),
('The Memory Police', 'Yoko Ogawa', 4),
('A Little Life', 'Hanya Yanagihara', 3),
('The Farm', 'Joanne Ramos', 1),
('The Water Dancer', 'Ta-Nehisi Coates', 5),
('Sapiens: A Brief History of Humankind', 'Yuval Noah Harari', 2),
('The Immortalists', 'Chloe Benjamin', 4),
('The Night Watchman', 'Louise Erdrich', 3),
('The Paris Library', 'Janet Skeslien Charles', 1),
('The Institute', 'Stephen King', 5),
('The Nickel Boys', 'Colson Whitehead', 2),
('Everything I Never Told You', 'Celeste Ng', 4),
('The Sun Is Also a Star', 'Nicola Yoon', 1),
('What Alice Forgot', 'Liane Moriarty', 5),
('The Girl with the Louding Voice', 'Abi Daré', 5),
('The Power', 'Naomi Alderman', 4),
('The City We Became', 'N.K. Jemisin', 5),
('Pachinko', 'Min Jin Lee', 4),
('The House of the Spirits', 'Isabel Allende', 3),
('The Sympathizer', 'Viet Thanh Nguyen', 5),
('My Dark Vanessa', 'Kate Elizabeth Russell', 3),
('Malibu Rising', 'Taylor Jenkins Reid', 2),
('Fates and Furies', 'Lauren Groff', 1),
('The Light We Lost', 'Jill Santopolo', 3),
